--- Blue Noise Points ---
Count: 669

Index,X,Z
0,141.92,-72.722
1,137.938,-59.4882
2,153.214,-64.0909
3,155.468,-50.5045
4,161.932,-38.6439
5,157.664,-73.8742
6,153.733,-37.7879
7,140.889,-42.6144
8,169.519,-48.442
9,131.344,-34.5139
10,161.987,-63.431
11,127.914,-46.3711
12,149.705,-86.0665
13,139.758,-29.3605
14,146.081,-98.7852
15,160.907,-82.6809
16,120.172,-28.9677
17,147.958,-30.466
18,140.858,-51.6553
19,155.667,-92.9268
20,168.043,-91.3496
21,174.655,-62.1978
22,164.338,-98.9455
23,170.223,-78.4492
24,166.74,-29.6804
25,106.87,-33.1216
26,158.221,-30.0936
27,133.157,-71.408
28,139.849,-85.7437
29,155.785,-104.235
30,176.465,-90.6754
31,169.072,-18.5697
32,131.009,-22.9414
33,119.703,-43.0401
34,184.514,-51.1244
35,181.697,-96.7335
36,179.685,-75.141
37,128.35,-60.0039
38,166.424,-3.8197
39,111.572,-51.5083
40,119.095,-56.4337
41,174.548,-6.00756
42,185.547,-11.5877
43,143.287,-15.4884
44,191.312,-71.4712
45,130.761,-93.5817
46,132.067,-81.4487
47,158.714,-115.496
48,98.1917,-21.1139
49,173.939,-37.0004
50,188.441,-63.7754
51,150.047,-76.7693
52,198.363,-61.5341
53,122.698,-16.9844
54,205.251,-54.8601
55,125.213,-68.0908
56,115.344,-7.43897
57,152.942,-21.5524
58,146.735,-57.894
59,218.174,-50.4357
60,195.916,-0.661739
61,158.614,-12.2006
62,108.55,-61.7521
63,183.895,-1.59728
64,194.285,-48.5892
65,165.722,-71.6091
66,174.835,-27.5159
67,200.072,-9.04462
68,199.368,-75.2168
69,103.413,-68.0385
70,172.073,-103.041
71,210.758,-66.2293
72,190.053,-93.08
73,150.5,-110.662
74,199.395,-41.8634
75,187.577,-82.3325
76,182.784,-105.151
77,207.122,-4.10158
78,121.763,-81.7096
79,150.041,-6.2242
80,101.147,-52.422
81,109.642,-42.2344
82,214.339,-12.7291
83,100.044,-40.0339
84,84.9347,-22.4377
85,145.491,-122.524
86,137.745,-105.157
87,186.015,-26.8756
88,173.333,-114.243
89,189.882,-109.003
90,157.219,-128.953
91,133.269,-128.892
92,183.98,-38.1786
93,149.58,-132.177
94,201.262,-28.5657
95,176.716,-53.7506
96,99.2155,-8.64688
97,138.446,-118.23
98,211.739,-44.6614
99,116.946,-64.444
100,127.437,-117.787
101,183.201,-113.665
102,137.519,-138.104
103,116.982,-108.787
104,176.943,-45.3539
105,165.58,-139.428
106,184.125,-125.547
107,127.556,-7.66573
108,194.794,-116.06
109,206.648,-20.6557
110,164.188,-55.5169
111,221.399,-61.0952
112,210.845,-33.6582
113,98.9373,-30.5734
114,116.073,-74.6495
115,192.611,-37.0235
116,196.697,-83.8449
117,128.548,-139.682
118,114.047,-23.6185
119,111.062,-118.151
120,174.511,-127.741
121,179.783,-19.4891
